电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
铁血战士,沙恩·布莱克,弗莱德·戴克尔/沙恩·布莱克/吉姆·托马斯/约翰·托马斯,波伊德·霍布鲁克/崔凡特·罗兹/雅各布·特伦布莱/科甘-迈克尔·凯/奥立薇娅·玛恩/斯特林·K·布朗/托马斯·简/阿尔菲·艾伦/奥古斯托·阿奎莱拉/杰克·布塞/伊冯娜·斯特拉霍夫斯基/布赖恩·A·普林斯/麦克·多普德/尼尔迈特/加里·切克/艾米·阿内克/弗雷泽·艾奇逊/简·波斯/洛奇林·莫罗/叶芳华/里斯·威廉姆斯/萨奇·布洛克勒班克/肖恩·O.罗伯茨/柯林·科里根/帕特里克·萨邦圭/弗雷泽·科比特/阿隆·克拉文/安德鲁·詹金斯,动作/科幻/惊悚/冒险,美国/加拿大,英语/西班牙语,2018-10-26(中国大陆)/2018-09-07(多伦多电影节)/2018-09-14(美国),107分钟/106分钟(中国大陆),铁血战士新续集/终极战士：掠夺者(台)/铁血战士：血兽进化(港)/铁血战士4/Predator4,tt3829266
黑镜：潘达斯奈基,大卫·斯雷德,查理·布鲁克,菲恩·怀特海德/克雷格·帕金森/爱丽丝·洛维/阿西姆·乔杜里/威尔·保尔特/塔露拉·哈登/卡特里奥·诺克斯/保罗·布拉德利/乔纳森·阿里斯/A·J·霍顿/弗勒尔·基思/劳拉·埃弗兰/阿伦·阿萨德/苏珊妮·伯登/杰夫·明特/乔恩-乔·英克彭/汤姆·麦卡尔/埃利·皮尔西/斯蒂芬·拉什布鲁克/罗森达·桑德尔/桑德拉·特蕾丝,剧情/科幻/悬疑/惊悚,英国/美国,英语,2018-12-28(美国),90分钟/312分钟(交互总时长),黑镜：2018圣诞特别篇,tt9495224
掠食城市,克里斯蒂安·瑞沃斯,弗兰·威尔士/菲利帕·鲍恩斯/彼得·杰克逊/菲利普·里夫,海拉·西尔玛/雨果·维文/金吉/罗伯特·席安/莱拉·乔治/史蒂芬·朗/弗兰基·亚当斯/凯伦·皮斯托里斯/科林·萨蒙/安德鲁斯·李斯/莎拉·慕恩/罗南·拉夫特瑞/乔尔·托贝克/帕特里克·麦拉海德/史蒂芬·乌瑞/马尼克·古纳拉塔尼/菲利普·里夫/纳撒尼尔·利斯/雷吉-让·佩吉/卡卢姆·吉廷斯/安佑森/马克·哈德洛/马克米钦森/索菲·考克斯/莎拉·皮尔斯/奇·陈/约瑟夫·米卡-亨特/特里·诺瑞斯/安龙·杰克森/梅根·爱德华兹/尼克·布雷克/玛丽亚·沃克/阿曼·韦弗/玛德琳·亚当斯/马丁·郭/罗德尼·库克,动作/科幻/冒险,美国/新西兰,英语,2019-01-18(中国大陆)/2018-12-14(美国),128分钟,移动城市：致命引擎(港/台)/牵引城市/致命引擎/掠食城市：致命引擎,tt1571234
时间陷阱,马克·丹尼斯/本·福斯特,马克·丹尼斯,安德鲁·威尔逊/卡西迪·吉福德/布里安娜·豪伊/雷利·麦克伦顿/马克思·怀特/汉斯·马雷罗/戈泊尔·比达里/特洛伊·迪林格,动作/科幻/冒险,美国,英语,2017-05-19(西雅图电影节)/2018-11-02(美国),87分钟,時空陷阱(台),tt4815122
玉子,奉俊昊,奉俊昊/乔恩·容森,蒂尔达·斯文顿/安瑞贤/杰克·吉伦哈尔/保罗·达诺/莉莉·柯林斯/史蒂文·元/丹尼尔·亨绍尔/雪莉·亨德森/吉安卡罗·埃斯波西托/戴文·博斯蒂克/边熙峰/尹宰文/崔宇植,剧情/科幻/冒险,韩国/美国,韩语/英语,2017-05-19(戛纳电影节)/2017-06-28(韩国),120分钟,Okja,tt3967856
缩小人生,亚历山大·佩恩,亚历山大·佩恩/吉姆·泰勒,马特·达蒙/克里斯托弗·沃尔兹/周洪/克里斯汀·韦格/罗夫·拉斯加德/英洁德·埃格伯格/乌多·基尔/索伦·比尔马克/杰妮·霍蒂谢尔/杰森·苏戴奇斯/玛莉贝丝·梦露/菲尔·里夫斯/布里盖特·伦迪·佩恩/詹姆斯·范德比克/艾丽森·J·帕尔默/蒂姆·德里斯科尔/凯文·孔克尔/派崔克·盖勒/安娜·玛丽·考克斯/罗兰·马丁/尼尔·帕特里克·哈里斯/劳拉·邓恩/南希·纳什/玛格·马丁戴尔/凯瑞·肯妮/唐·雷克/玛丽·凯·普莱斯,剧情/喜剧/科幻,美国,英语,2017-08-30(威尼斯电影节)/2017-12-22(美国),135分钟,缩身/缩水人间(港)/谁缩小了我的老公(豆友译名),tt1389072
蒙上你的眼,苏珊娜·比尔,埃里克·海瑟尔/乔什·马勒曼,桑德拉·布洛克/崔凡特·罗兹/约翰·马尔科维奇/莎拉·保罗森/杰基·韦佛/罗莎·萨拉查/丹妮尔·麦克唐纳/里尔·莱尔·哈瓦瑞/汤姆·霍兰德/机关枪凯利/黄荣亮/普路特·泰勒·文斯/维维恩·莱拉·布莱尔/帕敏德·纳格拉/丽贝卡·彼得根/艾米·古麦尼克/泰勒·汉德雷/海皮·安德森/大卫·达斯马齐连/基思·雅各/克里斯托弗洛根/弗兰克·莫特克/泰德·霍利斯/麦特·伦纳德,剧情/科幻/惊悚,美国,英语,2018-12-13(美国点映)/2018-12-21(美国),124分钟,鸟箱/鸟舍,tt2737304
克隆人,杰弗利·纳赫马诺夫,查德·圣·约翰/史蒂芬·哈梅尔,基努·里维斯/爱丽丝·伊芙/艾米丽·阿琳·林德/托马斯·米德蒂奇/恩杰伊·安东尼/约翰·奥提兹/尼亚切·海邓迪/艾莉亚·莱蕊克·勒布/艾梅柏·里维拉/艾梅柏·汤森/杰弗里·霍尔斯曼/桑娴·洛格罗诺/奥马尔·克鲁兹·索托/伊万·J·托雷斯·拉桑塔/让·皮埃尔·普拉茨/伊夫林·迪安-奥姆斯特德,科幻/悬疑/犯罪,英国/中国大陆/波多黎各/美国,英语,2018-11-23(中国大陆)/2019-01-11(美国),107分钟,捍卫生死线(台)/复制品/复生人/复制人,tt4154916
毒液：致命守护者,鲁本·弗雷斯彻,杰夫·皮克纳/斯科特·罗森伯格/凯莉·马塞尔/托德·麦克法兰/戴维·麦克法兰,汤姆·哈迪/米歇尔·威廉姆斯/里兹·阿迈德/斯科特·黑兹/瑞德·斯科特/珍妮·斯蕾特/梅洛拉·沃尔特斯/伍迪·哈里森/佩吉·陆/马尔科姆·C·默里/索佩·阿卢科/韦恩·佩雷/米歇尔·李/库尔特·岳/克里斯·奥哈拉/埃米里奥·瑞弗拉/阿里亚当娜·约瑟夫/袁之正/朴云龙/麦克·勃兰特/尼克·图恩/山姆·麦地那/迪塞尔·马德金斯/简·麦克尼尔/维克托·麦凯/马丁·巴特斯·布拉德福德/布兰顿·莫拉莱斯/马修·康威尔/斯坦·李/韦德·威廉姆斯/约瑟夫·阿梅/威廉·W·巴伯/玛塞拉·布拉吉奥/卡特·伯奇/克里斯蒂安·康佛瑞/詹姆斯·富尔特斯/丹妮拉·加斯基/约翰·盖蒂尔/艾米丽塔·T·冈萨雷斯/杰克·汉森/安东尼·B·哈里斯/卡茜·亨德利/罗恩·彼得·琼斯/霍梅洛·洛佩兹/万恩·姆约维奇,动作/科幻/惊悚,美国/中国大陆,英语/汉语普通话,2018-11-09(中国大陆)/2018-10-05(美国),112分钟/107分钟(中国大陆),毒魔(港)/猛毒(台)/毒液,tt1270797
移动迷宫3：死亡解药,韦斯·鲍尔,T·S·诺林/詹姆斯·达什纳,迪伦·奥布莱恩/卡雅·斯考达里奥/李起弘/托马斯·布罗迪-桑斯特/罗莎·萨拉查/德克斯特·达登/艾丹·吉伦/威尔·保尔特/吉安卡罗·埃斯波西托/沃尔顿·戈金斯/派翠西娅·克拉克森/巴里·佩珀,动作/科幻/冒险,美国,英语,2018-01-26(美国/中国大陆),142分钟,移动迷宫3/死亡解药/TheDeathCure,tt4500922
科洛弗悖论,朱利叶斯·约拿,奥伦·尤济尔/道格·郑,古古·姆巴塔-劳/大卫·奥伊罗/丹尼尔·布鲁尔/约翰·奥提兹/克里斯·奥多德/阿卡塞尔·亨涅/章子怡/伊丽莎白·德比茨基/罗杰·戴维斯/唐纳尔·罗格/苏珊·克莱尔/肯·奥林/西蒙·佩吉/格雷戈·格伦伯格,科幻/悬疑/惊悚,美国,英语/汉语普通话,2018-02-04(美国),102分钟,科洛弗档案3/末世悖论(港)/上帝粒子/GodParticle/CloverfieldStation,tt2548396
海市蜃楼,奥里奥尔·保罗,奥里奥尔·保罗/拉拉·森迪姆,阿德里亚娜·乌加特/奇诺·达林/阿尔瓦罗·莫奇/诺拉·纳瓦斯/哈维尔·古铁雷斯/米格尔·费南德斯/克拉拉·塞古拉/米玛·里埃拉/艾娜·克洛特/阿尔伯特·佩雷斯/弗兰塞斯克·奥雷利亚/阿娜·瓦格纳/西尔维亚·阿隆索/贝伦·鲁埃达,科幻/悬疑/惊悚,西班牙,西班牙语,2019-03-28(中国大陆)/2018-11-30(西班牙),128分钟,暴风雨的幻象/风暴/DuringtheStorm/Mirage,tt6908274
逆时营救,尹鸿承,査慕春,杨幂/霍建华/金士杰/刘畅/张艺瀚/王俐丹,动作/科幻,中国大陆,汉语普通话,2017-06-29(中国大陆)/2017-06-19(上海电影节),106分钟,致命倒数/FatalCountdown:Reset/Reset,tt5342650
全球风暴,迪安·德夫林,迪安·德夫林/保罗·盖特,杰拉德·巴特勒/吉姆·斯特吉斯/艾比·考尼什/亚历山德拉·玛丽亚·拉娜/吴彦祖/欧赫尼奥·德尔维斯/阿马尔·维克德/阿德普波·奥杜耶/安迪·加西亚/艾德·哈里斯/罗伯特·席安/理查德·希夫/梅尔·温宁汉姆/莎姬·贝兹/特丽莎·贝特曼,动作/科幻/灾难,美国,英语/粤语/俄语/印地语/西班牙语,2017-10-27(中国大陆)/2017-10-20(美国),109分钟,人造天劫(港)/气象战(台)/天降浩劫/地磁风暴/卫星风暴,tt1981128
巨齿鲨,乔·德特杜巴,迪恩·乔格瑞斯/乔·霍贝尔/埃里希·霍贝尔/史蒂夫·艾尔顿,杰森·斯坦森/李冰冰/雷恩·威尔森/鲁比·罗丝/赵文瑄/佩吉·肯尼迪/杰西卡·麦克娜美/奥拉维尔·达里·奥拉夫松/罗伯特·泰勒/蔡书雅/丘增/克利夫·柯蒂斯/安佑森/罗伯·基帕-威廉姆斯/维他亚·潘斯林加姆/安得烈·格兰杰/蒂姆·王/史蒂文·A·戴维斯/托万达·马尼莫/买红妹,动作/科幻/惊悚,美国/中国大陆/香港,英语/汉语普通话/泰语,2018-08-10(美国/中国大陆),115分钟(中国大陆)/113分钟,极悍巨鲨(港)/麦格,tt4779682
疯狂的外星人,宁浩,孙小杭/董润年/吴楠/刘晓丹/潘依然,黄渤/沈腾/汤姆·派福瑞/马修·莫里森/徐峥/于和伟/雷佳音/刘桦/邓飞/蔡明凯/王戈/凯特·纳尔逊/王砚伟/呲路,喜剧/科幻,中国大陆,汉语普通话/英语,2019-02-05(中国大陆),116分钟,CrazyAlien,tt6660238
霸主,朱利叶斯·艾弗里,比利·雷/马克·L·史密斯,约翰·艾德坡/怀亚特·罗素/马蒂尔德·奥利维耶/皮鲁·埃斯贝克/约翰·马加罗/伊恩·德·卡斯泰克/雅各布·安德森/多米尼克·阿普尔怀特/博基姆·伍德拜因/恩里奇·雷德曼/马克·麦克肯纳/海莉·卡迈克尔/米迦勒·埃普/RossTomlinson/本·特瓦索里/安迪·韦勒姆/帕特里克·布拉莫尔/肖恩·狄克逊/豪尔赫·莱昂·马丁内斯/伊娃·马格亚,动作/科幻/恐怖/战争,美国/加拿大,英语/俄语/法语/德语,2018-09-22(奥斯汀奇幻电影节)/2018-11-09(美国),110分钟,大君主之役(港)/霸王行动/君主/大君主行动,tt4530422
虚拟实惊,本·C·卢卡斯,凯利·埃斯克里奇/本·C·卢卡斯/格雷戈里·威顿,杰西卡·德·古维/托马斯·康奎尔/TJ·鲍尔/利亚姆·格雷厄姆/普丽西拉-安妮·福德/侯宣德/莎罗姆·布龙-富兰克,科幻/悬疑/惊悚/犯罪,澳大利亚,英语,2017-06-16(悉尼电影节)/2017-11-15(澳大利亚网络),96分钟,异生,tt4693358
哥斯拉：噬星者,静野孔文/濑下宽之,虚渊玄,宫野真守/樱井孝宏/花泽香菜/杉田智和/梶裕贵/诹访部顺一/三宅健太/堀内贤雄/中井和哉/山路和弘/早见沙织/上田丽奈/小泽亚李/铃村健一,动作/科幻/动画,日本,日语,2018-11-03(东京电影节)/2018-11-09(日本),90分钟,哥斯拉：喰星者/哥斯拉：行星吞噬者/GODZILLA第三章/Godzilla:ThePlanetEater/Godzilla:EaterofStars,tt8478602
哥斯拉：决战之都,静野孔文/濑下宽之,虚渊玄,宫野真守/梶裕贵/中井和哉/樱井孝宏/杉田智和/三宅健太/花泽香菜/诹访部顺一/小泽亚李/山路和弘/堀内贤雄,动作/科幻/动画,日本,日语,2018-05-18(日本),101分钟,哥斯拉：决战机动增殖都市/GODZILLA第二章,tt8015080
未来机器城,安恪温/龙子乔,郝雨/苏子缙/sasa/安恪温/龙子乔/王尼玛/瑞安·W·史密斯,韩莹棣/郑海音/冯远征/石班瑜/涂松岩/杨婷/查琳·易/约翰·卡拉辛斯基/杰森·苏戴奇斯/大卫·克罗斯/迈克尔·佩纳/吴恬敏/杰特·尤尔根斯米尔/安娜·阿卡娜,科幻/动画/冒险,中国大陆/加拿大,英语/汉语普通话,2019(中国大陆)/2018-09-07(美国),90分钟,新世代小英雄(台/港)/次世代伙伴(新)/暴走吧！失忆超人/NextGen,tt7133686
天际浩劫2,连姆·O·达诺,连姆·O·达诺,弗兰克·格里罗/博亚娜·诺瓦科维奇/乔尼·维斯顿/卡兰·马尔韦/安东尼奥·法加斯/齐騛/雅彦·鲁伊安/贾克波·瓦格斯/伊科·乌艾斯/琳赛·摩根/萨曼莎·吉恩/贝蒂·加布里埃尔/诺尔·古格雷米/凯文·奥多奈尔/扎拉·马勒/托尼·布莱克/劳伦·马林/凯伦·格莱夫/克里斯汀·阿瑞扎/瓦伦汀·帕扬/贾斯汀·扎查利,动作/科幻/灾难,美国/英国/新加坡/印度尼西亚/加拿大/中国大陆,英语/印度尼西亚语,2017-10-14(多伦多AfterDark电影节)/2017-12-15(美国),106分钟,天劫：救赎之战(台)/天凶之城：末日救赎(港)/BeyondtheSkyline/Skyline2,tt1724970
散步的侵略者,黑泽清,黑泽清/田中幸子/前川知大,长泽雅美/松田龙平/高杉真宙/恒松祐里/长谷川博己/前田敦子/满岛真之介/儿岛一哉/光石研/东出昌大/小泉今日子/笹野高史,剧情/科幻,日本,日语,2017-05-21(戛纳电影节)/2017-09-09(日本),129分钟,来自星凶的爱(港)/BeforeWeVanish,tt5999530
超人之死,杰克·卡斯托雷纳/刘山姆,彼得·托马西/杰里·西格尔/乔·舒斯特/露易丝·西蒙森,杰瑞·奥康奈尔/丽贝卡·罗梅恩/雷恩·威尔森/罗莎里奥·道森/内森·菲利安/克里斯托弗·戈勒姆/马特·兰特尔/谢默·摩尔/耐姆比·耐姆比/杰森·奥玛拉/乔纳森·亚当斯/洛奇·卡罗尔/特雷弗·德瓦/保罗·伊丁/帕特里克·法比安/詹妮弗·黑尔/马克斯·迈特尔曼/托克斯·奥拉贡多耶,动作/科幻/动画,美国,英语,2018-07-24(美国),81分钟,,tt7167658
灭绝,本·扬,斯宾塞·科恩/埃里克·海瑟尔/布拉德·凯恩,迈克尔·佩纳/丽兹·卡潘/伊瑟尔·布罗萨德/麦克·柯尔特/艾玛·布斯/莱斯·施拉普内尔/埃丽卡·特伦布莱/莉莉·阿斯佩尔/汤姆·莱利/伊万娜·基夫科维奇/阿梅利亚·克劳奇/桑德拉·特蕾丝/尼古拉·肯特,科幻/惊悚,美国,英语,2018-07-27(美国),95分钟,灭绝入侵(台),tt3201640
湮灭,亚历克斯·嘉兰,亚历克斯·嘉兰/杰夫·万德米尔,娜塔莉·波特曼/詹妮弗·杰森·李/吉娜·罗德里格兹/泰莎·汤普森/奥斯卡·伊萨克/水野索诺娅/大卫·吉雅西/图娃·诺沃妮/本尼迪克特·王/约翰·施瓦布/萨米·海曼/乔希·丹福德/克里斯汀·麦加里蒂,剧情/科幻/惊悚,美国/英国,英语,2018-04-13(中国大陆)/2018-02-23(美国),115分钟/114分钟(中国大陆),灭。境(港)/灭绝(台)/遗落的南境1：湮灭,tt2798920
死亡半径,卡罗琳·拉布里奇/史蒂夫·伦纳德,卡罗琳·拉布里奇,迪亚哥·克莱特霍夫/夏洛蒂·苏利文/罗伯特·博尔赫斯/安德里亚·德尔·坎普/纳扎利·德姆克维奇/布雷特·多纳休/艾丽西亚·约翰斯顿/加斯·梅尔克利/达伦·罗斯/布拉德利·索茨基,科幻/惊悚,加拿大,英语,2017-07-17(奇幻电影节),92分钟,索命半径,tt6097798
穿越,哈斯拉夫·杜卢尔,哈斯拉夫·杜卢尔,大卫·拜利/简·佩里/科莎·恩格勒/布赖恩·迪肯/诺埃琳·科米斯基/艾米·劳霍恩/梅丽莎·格雷厄姆/布鲁斯·钟/奈吉尔·巴伯/汤姆·克里斯蒂安/朱利安·格雷厄姆/乔治娜·布莱克利奇/尼克·科科塔基斯/艾丽莎·朱万/斯图尔特·艾什顿,科幻/惊悚,英国,英语,2017-11-17(柏林科幻影展)/2018-01-09(英国),103分钟,TheVoid,tt5723416
乐高DC超级英雄：闪电侠,伊桑·斯波尔丁,詹姆斯·克里格/杰瑞米·亚当斯,詹姆斯·阿诺德·泰勒/德怀特·舒尔茨/特罗伊·贝克/诺兰·诺斯/格蕾·德丽斯勒/卡里·佩顿/艾瑞克·鲍扎/汤姆·肯尼/菲尔·拉马/凯文·迈克尔·理查德森/凯特·米库奇/瓦内萨·马歇尔/迪·布拉雷·贝克尔/杰森·斯皮萨克/奥德丽·瓦西莱夫斯基,动作/科幻/动画,美国,英语,2018-02-13(美国),78分钟,,tt7877382
星河战队：火星叛国者,荒牧伸志/松本胜,爱德华·诺麦尔,卡斯帕·凡·迪恩/迪娜·迈耶/德雷·戴维斯/露西·克里斯蒂安,动作/科幻/动画,美国/日本,英语,2017-08-21(美国),88分钟,星河战队：火星的叛徒,tt6977240
机动战士高达THE ORIGIN VI 赤色彗星诞生,安彦良和,隅泽克之,池田秀一/潘惠美/银河万丈/渡边明乃/三宅健太/古谷彻/柿原彻也/古川登志夫/福圆美里/大塚明夫,科幻/动画,日本,日语,2018-05-05(日本),84分钟,机动战士高达THEORIGINVI诞生红色彗星,tt8742774
人类清除计划4,杰拉德·麦克穆雷,詹姆斯·德莫纳克,伊兰·诺尔/莱克斯·斯科特·戴维斯/乔瓦恩·韦德/马加/帕奇·德拉奇/玛丽莎·托梅/劳伦·维勒斯/克丽丝滕·索利斯/莫·麦克雷/史蒂夫·哈里斯/米切尔·爱德华兹/伊恩·布莱克曼/梅罗妮·迪亚兹/迪德尔·古德温/丽维·陈/阿兰·皮特鲁塞泽维斯基/洛根·克劳福德/约翰·麦克金蒂,科幻/惊悚/犯罪,美国,英语,2018-07-04(美国),98分钟,杀戮元年(台)/国定杀戮日：屠亡前传(港)/ThePurge:TheIsland/ThePurge4,tt6133466
同族,乔纳森·贝克/乔西·贝克,乔纳森·贝克/乔西·贝克/丹·凯西,詹姆斯·弗兰科/佐伊·克罗维兹/丹尼斯·奎德/凯莉·库恩/杰克·莱诺/马克·奥布莱恩/伊恩·马休斯/肖恩·J·汉密尔顿/高莉莉/乔纳森·切里/罗曼诺·欧萨里/迈尔斯·特鲁伊特/布里·沃西伦科/加万·福克斯,动作/科幻/惊悚,美国,英语,2018-08-31(美国),102分钟,天煞重炮(港)/家族/亲戚,tt6017942
机动战士高达THE ORIGIN V 激战 鲁姆战役篇,安彦良和/今西隆志,隅泽克之,池田秀一/潘惠美/三宅健太/古谷彻/浦山迅/银河万丈/柿原彻也/泽城美雪/大塚明夫,科幻/动画,日本,日语,2017-09-02(日本),84分钟,機動戦士ガンダムTHEORIGINルウム編/机动战士高达THEORIGIN鲁姆战役篇,tt7303948
